iter	Passed	Remaining
324	2070	6607
325	2077	6600
326	2083	6593
327	2089	6587
328	2095	6579
329	2101	6571
330	2107	6565
331	2113	6557
332	2119	6548
333	2130	6556
334	2139	6558
335	2145	6550
336	2151	6542
337	2156	6534
338	2162	6526
339	2169	6519
340	2175	6513
341	2180	6504
342	2188	6500
343	2193	6491
344	2199	6482
345	2204	6474
346	2210	6464
347	2216	6457
348	2223	6453
349	2229	6445
350	2235	6438
351	2241	6432
352	2247	6424
353	2254	6420
354	2260	6412
355	2265	6403
356	2272	6396
357	2278	6390
358	2284	6383
359	2291	6378
360	2297	6370
361	2303	6364
362	2309	6357
363	2315	6349
364	2322	6344
365	2327	6332
366	2330	6319
367	2337	6313
368	2343	6306
369	2349	6299
370	2356	6294
371	2362	6287
372	2369	6281
373	2374	6272
374	2380	6264
375	2387	6260
376	2393	6254
377	2399	6246
378	2406	6241
379	2412	6233
380	2418	6225
381	2424	6220
382	2430	6212
383	2437	6207
384	2443	6200
385	2448	6191
386	2454	6184
387	2460	6177
388	2467	6171
389	2473	6165
390	2480	6158
391	2487	6154
392	2493	6148
393	2499	6141
394	2506	6135
395	2512	6128
396	2516	6116
397	2523	6111
398	2530	6106
399	2536	6099
400	2542	6092
401	2547	6082
402	2554	6077
403	2560	6070
404	2565	6061
405	2573	6060
406	2583	6061
407	2590	6057
408	2596	6050
409	2603	6044
410	2608	6035
411	2614	6029
412	2621	6023
413	2627	6015
414	2631	6005
415	2638	6000
416	2645	5995
417	2649	5984
418	2657	5979
419	2661	5969
420	2668	5964
421	2674	5957
422	2680	5949
423	2686	5943
424	2692	5936
425	2698	5929
426	2705	5924
427	2711	5916
428	2718	5911
429	2724	5904
430	2730	5897
431	2735	5889
432	2741	5882
433	2747	5875
434	2754	5869
435	2759	5861
436	2765	5854
437	2772	5849
438	2778	5841
439	2785	5836
440	2790	5827
441	2796	5820
442	2801	5811
443	2807	5804
444	2813	5797
445	2820	5792
446	2826	5786
447	2833	5781
448	2838	5771
449	2844	5764
450	2851	5759
451	2857	5752
452	2864	5748
453	2874	5748
454	2884	5750
455	2892	5747
456	2897	5737
457	2903	5731
458	2909	5724
459	2915	5716
460	2921	5710
461	2927	5703
462	2934	5696
463	2940	5689
464	2945	5681
465	2951	5674
466	2957	5667
467	2963	5660
468	2969	5654
469	2975	5646
470	2981	5640
471	2987	5633
472	2993	5626
473	3001	5623
474	3008	5617
475	3016	5613
476	3022	5608
477	3029	5602
478	3035	5596
479	3041	5589
480	3047	5582
481	3053	5575
482	3059	5567
483	3066	5562
484	3071	5554
485	3077	5547
486	3084	5541
487	3090	5534
488	3096	5527
489	3101	5519
490	3105	5509
491	3111	5502
492	3118	5497
493	3123	5488
494	3129	5480
495	3136	5475
496	3142	5468
497	3149	5464
498	3155	5457
499	3161	5450
500	3167	5442
501	3172	5435
502	3179	5429
503	3184	5420
504	3190	5414
505	3196	5407
506	3203	5401
507	3208	5394
508	3216	5389
509	3222	5383
510	3228	5375
511	3234	5370
512	3239	5360
513	3245	5353
514	3251	5347
515	3256	5339
516	3262	5332
517	3268	5326
518	3274	5319
519	3282	5314
520	3286	5305
521	3292	5298
522	3300	5294
523	3306	5287
524	3312	5280
525	3319	5276
526	3326	5270
527	3334	5266
528	3340	5259
529	3347	5254
530	3357	5254
531	3366	5251
532	3371	5244
533	3377	5237
534	3383	5230
535	3387	5220
536	3394	5215
537	3401	5209
538	3407	5202
539	3414	5197
540	3420	5190
541	3424	5180
542	3431	5175
543	3437	5168
544	3443	5161
545	3453	5160
546	3462	5159
547	3468	5152
548	3474	5145
549	3481	5140
550	3485	5130
